Almeria Distrito(Almeria):306142:246
Levante-Alto Almanzora(Almeria):153184:119
Poniente de Almeria(Almeria):268619:157
Campo de Gibraltar Oeste(Cadiz):165038:251
Campo de Gibraltar Este(Cadiz):107766:93
Bahia de Cadiz-La Janda(Cadiz):513384:542
Jerez-Costa Noroeste(Cadiz):342287:397
Sierra de Cadiz(Cadiz):115574:253
Cordoba Distrito(Cordoba):326039:558
Cordoba Sur(Cordoba):260440:355
Guadalquivir(Cordoba):123667:101
Cordoba Norte(Cordoba):74944:149
Granada Sur(Granada):148993:234
Granada Nordeste(Granada):97710:63
Granada Distrito(Granada):240363:709
Metropolitano de Granada(Granada):432102:1019
Sierra de Huelva-Andavalo Central(Huelva):67391:112
Condado-Campina(Huelva):156231:572
Huelva-Costa(Huelva):289548:691
Jaen Sur(Jaen):90904:259
Jaen(Jaen):196573:482
Jaen Norte(Jaen):182146:602
Jaen Nordeste(Jaen):161758:204
La Vega(Malaga):110176:291
Axarquia(Malaga):170141:184
Valle del Guadalhorce(Malaga):156298:262
Costa del Sol(Malaga):560785:761
Malaga Distrito(Malaga):633521:761
Serrania(Malaga):54999:99
Sevilla Sur(Sevilla):428182:638
Aljarafe(Sevilla):390752:663
Sevilla Este(Sevilla):169255:693
Sevilla Norte(Sevilla):278104:1317
Sevilla Distrito(Sevilla):691395:1194
